Código,Descripción,Código_de_Barras,Precio_de_Costo,Inventario
A5080,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. BLANCA,7501015225080            ,10624.4,1
A5240,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. COBRE,7501015225240            ,10624.4,1
A5189,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. FUCCIA,7501015225189            ,10624.4,1
A5158,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. MORADO,7501015225158            ,10624.4,1
A5257,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. MULTICOLOR,7501015225257            ,10624.4,1
A5172,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. NARANJA,7501015225172            ,10624.4,1
A5233,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. NEGRO,7501015225233            ,10624.4,1
A5097,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. ORO,7501015225097            ,10624.4,1
A5066,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. PLATA,7501015225066            ,10624.4,1
A5059,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. ROJO,7501015225059            ,10624.4,1
A5127,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. ROJO,7501015225127            ,10624.4,1
A5219,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. ROSA PASTEL,7501015225219            ,10624.4,1
A5073,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. VERDE,7501015225073            ,10624.4,1
A5202,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. VERDE,7501015225202            ,10624.4,1
A5141,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. VERDE LIMON,7501015225141            ,10624.4,1
A5196,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. VIOLETA,7501015225196            ,10624.4,1
A7225,ADHESIVO SILICONA CBX X100ML X1 UNIDAD,7501014667225            ,2040.28,1
A722512,ADHESIVO SILICONA CBX X100ML X12UNID.,570300020000             ,24003.4,1
A0000,ADHESIVO SILICONA CBX X250ML  X1 UNIDAD,570300040000             ,4363.26,1
A40001,ADHESIVO SILICONA CBX X250ML X12UNID ,570300040001             ,51311.3,1
A7102,ADHESIVO SILICONA CBX X30ML  X1UNID.,7501014667102            ,828.85,1
A710224,ADHESIVO SILICONA CBX X30ML  X24UNID.,570300010000             ,19494.6,1
A0055,ADHESIVO SILICONA CBX X500ML  X1 UNIDAD,570300030005        ,8374.41,1
A0072,ADHESIVO SILICONA FINA P/PISTOLA,A0072                    ,219.01,1
A0073,ADHESIVO SILICONA GRUESA P/PISTOLA,A0073                    ,562.65,1
A0074,ADHESIVO SILICONA X KGR. FX78 GX35,000000100748             ,16940,1
A0150,ADHESIVO STA COLA X 50CC X1 UNIDAD,7798112712098            ,520.3,1
A015060,ADHESIVO STA COLA X 50CC X60UNI.,7798112732096            ,30593.6,1
A10001,ADHESIVO STA COLA X1000CC X1 UNIDAD,7798112201073            ,7396.73,1
A1000,ADHESIVO STA COLA X1000CC X1 UNIDAD,7798112712135            ,7396.73,1
A1100,ADHESIVO STA COLA X100CC X1 UNIDAD,7798112201042            ,1011.56,1
A110036,ADHESIVO STA COLA X100CC X36UNI.,7797548619827            ,35695,1
A1250,ADHESIVO STA COLA X250CC X1 UNIDAD,7798112712111            ,1919.06,1
A125024,ADHESIVO STA COLA X250CC X24UNID.,7798112732119            ,45133,1
A0032,ADHESIVO STA COLA X30CC COLOR,7797548643228            ,343.46,1
A00302,ADHESIVO STA COLA X30CC X1 UNIDAD,7798112830365            ,284.6,1
A0030,ADHESIVO STA COLA X30CC X1 UNIDAD.,7798112712081            ,284.6,1
A00303,ADHESIVO STA COLA X30CC X48UNID,17794757141313           ,13383.8,1
A003048,ADHESIVO STA COLA X30CC X48UNID.,7797548619926            ,13383.8,1
A1500,ADHESIVO STA COLA X500CC X1 UNIDAD,7798112712128            ,3698.97,1
A150012,ADHESIVO STA COLA X500CC X12UNID.,7798112732126            ,43499.5,1
A1251,ADHESIVO STA COLOR X250CC Y FLUOR X1 UNIDAD,A1251                    ,2621.59,1
A5322,ADHESIVO STA TRANS. X30CC,A5322                    ,285.17,1
A2154,ADHESIVO STA TRANS. X30CC X48UNID.,7798112832154            ,13619.2,1
A1107,ADHESIVO UHU GLITTER X10ML X6 UNIDAD,4026700391107,6652.05,1
A0002,AGUJA BOLSERO Y COLCHONERO C/U,A0002                    ,114.55,1
AC/P60,AGUJA C/LANA C/P60 X6 UNID.,050400040000   ,1049.07,1
ASUR,AGUJA C/LANA N.55 X6 UNID.,050400020000,1049.07,1
A0019,AGUJA CANASTA X19 CHINA Y CBX,050100050000,324.53,1
A10000,AGUJA CBX BORDADO CHINO PN-001 PK 10000 BLISTER X3,140100010000,19226.9,1
